Matricula,Ano/Período Letivo,Código,CH,Média
202285940019,2023.3,SI05016,68,B
202285940019,2023.3,SI05017,34,B
202285940019,2023.3,SI05018,34,B
202285940019,2023.3,SI05019,68,E
202285940019,2024.1,SI05020,68,E
202285940019,2024.1,SI05021,68,E
202285940019,2024.1,SI05022,68,E
202285940019,2024.1,SI05023,68,E
202285940019,2024.1,SI05024,34,E
202285940019,2024.1,SI05025,34,E
202285940019,2024.1,SI05026,68,E
202285940019,2024.3,SI05027,68,E
202285940019,2024.3,SI05028,68,E
202285940019,2024.3,SI05029,68,E
202285940019,2024.3,SI05030,68,E
202285940019,2024.3,SI05031,34,B
202285940019,2024.3,SI05032,34,B
202285940019,2024.3,SI05033,68,E
202285940019,2025.1,SI05034,68,E
202285940019,2025.1,SI05035,68,E
202285940019,2025.1,SI05036,68,E
202285940019,2025.1,SI05037,68,E
202285940019,2025.1,SI05038,34,E
202285940019,2025.1,SI05039,34,E
202285940019,2025.1,SI05040,68,E
202285940019,2025.2,SI05041,68,-
202285940019,2025.2,SI05042,68,-
202285940019,2025.2,SI05043,34,-
202285940019,2025.2,SI05045,68,-
202285940019,2025.2,SI05057,68,-
202285940020,2022.3,SI05005,34,E
202285940020,2022.3,SI05006,68,B
202285940020,2022.4,SI05001,68,B
202285940020,2023.1,SI05002,68,B
202285940020,2023.1,SI05003,34,E
202285940020,2023.1,SI05004,68,E
202285940020,2023.1,SI05009,68,B
202285940020,2023.1,SI05010,68,E
202285940020,2023.1,SI05011,34,E
202285940020,2023.1,SI05012,34,E
202285940020,2023.2,SI05007,68,R
202285940020,2023.2,SI05008,68,E
202285940020,2023.3,SI05013,68,R
202285940020,2023.3,SI05014,68,R
202285940020,2023.3,SI05015,68,B
202285940020,2023.3,SI05016,68,B
202285940020,2023.3,SI05017,34,E
202285940020,2023.3,SI05018,34,B
202285940020,2023.3,SI05019,68,E
202285940020,2024.1,SI05020,68,E
202285940020,2024.1,SI05021,68,B
202285940020,2024.1,SI05022,68,E
202285940020,2024.1,SI05023,68,E
202285940020,2024.1,SI05024,34,E
202285940020,2024.1,SI05025,34,E
202285940020,2024.1,SI05026,68,E
202285940020,2024.3,SI05027,68,E
202285940020,2024.3,SI05028,68,E
202285940020,2024.3,SI05029,68,E
202285940020,2024.3,SI05030,68,E
202285940020,2024.3,SI05031,34,B
202285940020,2024.3,SI05032,34,B
202285940020,2024.3,SI05033,68,E
202285940020,2025.1,SI05034,68,E
202285940020,2025.1,SI05035,68,E
202285940020,2025.1,SI05036,68,E
202285940020,2025.1,SI05037,68,E
202285940020,2025.1,SI05038,34,E
202285940020,2025.1,SI05039,34,E
202285940020,2025.1,SI05040,68,E
202285940020,2025.2,SI05041,68,-
202285940020,2025.2,SI05042,68,-
202285940020,2025.2,SI05043,34,-
202285940020,2025.2,SI05045,68,-
202285940020,2025.2,SI05057,68,-
202285940022,2022.3,SI05005,34,E
202285940022,2022.3,SI05006,68,I
202285940022,2022.4,SI05001,68,E
202285940022,2023.1,SI05002,68,B
202285940022,2023.1,SI05003,34,E
202285940022,2023.1,SI05004,68,E
202285940022,2023.1,SI05009,68,R
202285940022,2023.1,SI05010,68,E
202285940022,2023.1,SI05011,34,E
202285940022,2023.1,SI05012,34,E
202285940022,2023.2,SI05007,68,R
202285940022,2023.2,SI05008,68,B
202285940022,2023.3,SI05006,68,B
202285940022,2023.3,SI05013,68,R
202285940022,2023.3,SI05014,68,I
202285940022,2023.3,SI05015,68,B
202285940022,2023.3,SI05016,68,B
202285940022,2023.3,SI05017,34,B
202285940022,2023.3,SI05018,34,E
202285940022,2023.3,SI05019,68,E
202285940022,2024.1,SI05014,68,E
202285940022,2024.1,SI05020,68,E
202285940022,2024.1,SI05021,68,B
202285940022,2024.1,SI05022,68,E
202285940022,2024.1,SI05023,68,B
202285940022,2024.1,SI05024,34,E
202285940022,2024.1,SI05025,34,E
202285940022,2024.1,SI05026,68,E
202285940022,2024.3,SI05027,68,E
202285940022,2024.3,SI05028,68,R
202285940022,2024.3,SI05029,68,E
202285940022,2024.3,SI05030,68,B
202285940022,2024.3,SI05031,34,B
202285940022,2024.3,SI05032,34,B
202285940022,2024.3,SI05033,68,E
202285940022,2025.1,SI05034,68,E
202285940022,2025.1,SI05035,68,E
202285940022,2025.1,SI05036,68,E
202285940022,2025.1,SI05037,68,E
202285940022,2025.1,SI05038,34,E
202285940022,2025.1,SI05039,34,E
202285940022,2025.1,SI05040,68,E
202285940022,2025.2,SI05041,68,-
202285940022,2025.2,SI05042,68,-
202285940022,2025.2,SI05043,34,-
202285940022,2025.2,SI05045,68,-
202285940022,2025.2,SI05057,68,-
